dataset,attr_method,metric,model,itr_no,area,comp,suff
electricity,feature_permutation,mae,MICN,1,0.15,10.674,13.725
electricity,feature_permutation,mae,MICN,2,0.05,8.159,14.403
electricity,feature_permutation,mae,MICN,2,0.075,9.285,13.998
electricity,feature_permutation,mae,MICN,2,0.1,9.805,13.789
electricity,feature_permutation,mae,MICN,2,0.15,10.706,13.405
electricity,feature_permutation,mae,MICN,3,0.05,7.892,14.701
electricity,feature_permutation,mae,MICN,3,0.075,9.012,14.3
electricity,feature_permutation,mae,MICN,3,0.1,9.554,14.11
electricity,feature_permutation,mae,MICN,3,0.15,10.497,13.762
electricity,feature_permutation,mae,SegRNN,1,0.05,6.122,16.713
electricity,feature_permutation,mae,SegRNN,1,0.075,7.532,16.244
electricity,feature_permutation,mae,SegRNN,1,0.1,8.232,15.965
electricity,feature_permutation,mae,SegRNN,1,0.15,9.454,15.377
electricity,feature_permutation,mae,SegRNN,2,0.05,6.231,16.015
electricity,feature_permutation,mae,SegRNN,2,0.075,7.616,15.569
electricity,feature_permutation,mae,SegRNN,2,0.1,8.302,15.314
electricity,feature_permutation,mae,SegRNN,2,0.15,9.558,14.753
electricity,feature_permutation,mae,SegRNN,3,0.05,6.156,15.994
electricity,feature_permutation,mae,SegRNN,3,0.075,7.541,15.524
electricity,feature_permutation,mae,SegRNN,3,0.1,8.227,15.239
electricity,feature_permutation,mae,SegRNN,3,0.15,9.497,14.63
electricity,feature_permutation,mae,iTransformer,1,0.05,5.374,20.078
electricity,feature_permutation,mae,iTransformer,1,0.075,6.672,19.538
electricity,feature_permutation,mae,iTransformer,1,0.1,7.44,19.217
electricity,feature_permutation,mae,iTransformer,1,0.15,8.852,18.52
electricity,feature_permutation,mae,iTransformer,2,0.05,5.3,19.897
electricity,feature_permutation,mae,iTransformer,2,0.075,6.561,19.452
electricity,feature_permutation,mae,iTransformer,2,0.1,7.295,19.192
electricity,feature_permutation,mae,iTransformer,2,0.15,8.605,18.583
electricity,feature_permutation,mae,iTransformer,3,0.05,5.328,20.123
electricity,feature_permutation,mae,iTransformer,3,0.075,6.652,19.621
electricity,feature_permutation,mae,iTransformer,3,0.1,7.411,19.312
electricity,feature_permutation,mae,iTransformer,3,0.15,8.769,18.639
electricity,feature_permutation,mae,CALF,1,0.05,5.418,19.158
electricity,feature_permutation,mae,CALF,1,0.075,6.913,18.623
electricity,feature_permutation,mae,CALF,1,0.1,7.725,18.306
electricity,feature_permutation,mae,CALF,1,0.15,9.321,17.624
electricity,feature_permutation,mae,CALF,2,0.05,5.691,20.089
electricity,feature_permutation,mae,CALF,2,0.075,7.366,19.44
electricity,feature_permutation,mae,CALF,2,0.1,8.244,19.079
electricity,feature_permutation,mae,CALF,2,0.15,9.947,18.251
electricity,feature_permutation,mae,CALF,3,0.05,5.472,19.796
electricity,feature_permutation,mae,CALF,3,0.075,7.042,19.171
electricity,feature_permutation,mae,CALF,3,0.1,7.886,18.782
electricity,feature_permutation,mae,CALF,3,0.15,9.589,17.921
electricity,integrated_gradients,mae,DLinear,1,0.05,8.658,18.643
electricity,integrated_gradients,mae,DLinear,1,0.075,10.576,19.062
electricity,integrated_gradients,mae,DLinear,1,0.1,11.498,19.273
electricity,integrated_gradients,mae,DLinear,1,0.15,13.136,19.659
electricity,integrated_gradients,mae,DLinear,2,0.05,8.129,18.417
electricity,integrated_gradients,mae,DLinear,2,0.075,9.982,18.866
electricity,integrated_gradients,mae,DLinear,2,0.1,10.9,19.084
electricity,integrated_gradients,mae,DLinear,2,0.15,12.536,19.483
electricity,integrated_gradients,mae,DLinear,3,0.05,8.46,18.422
electricity,integrated_gradients,mae,DLinear,3,0.075,10.342,18.862
electricity,integrated_gradients,mae,DLinear,3,0.1,11.255,19.078
electricity,integrated_gradients,mae,DLinear,3,0.15,12.896,19.486
electricity,integrated_gradients,mae,MICN,1,0.05,10.657,15.441
electricity,integrated_gradients,mae,MICN,1,0.075,12.986,16.046
electricity,integrated_gradients,mae,MICN,1,0.1,14.267,16.527
electricity,integrated_gradients,mae,MICN,1,0.15,16.687,17.613
electricity,integrated_gradients,mae,MICN,2,0.05,10.897,15.259
electricity,integrated_gradients,mae,MICN,2,0.075,13.229,15.8
electricity,integrated_gradients,mae,MICN,2,0.1,14.486,16.224
electricity,integrated_gradients,mae,MICN,2,0.15,16.825,17.236
electricity,integrated_gradients,mae,MICN,3,0.05,10.653,15.358
electricity,integrated_gradients,mae,MICN,3,0.075,13.04,15.975
electricity,integrated_gradients,mae,MICN,3,0.1,14.344,16.458
electricity,integrated_gradients,mae,MICN,3,0.15,16.809,17.595
electricity,integrated_gradients,mae,SegRNN,1,0.05,9.248,16.071
electricity,integrated_gradients,mae,SegRNN,1,0.075,11.622,15.572
electricity,integrated_gradients,mae,SegRNN,1,0.1,12.667,15.338
electricity,integrated_gradients,mae,SegRNN,1,0.15,14.357,14.949
electricity,integrated_gradients,mae,SegRNN,2,0.05,9.554,15.388
electricity,integrated_gradients,mae,SegRNN,2,0.075,11.51,14.933
electricity,integrated_gradients,mae,SegRNN,2,0.1,12.389,14.719
electricity,integrated_gradients,mae,SegRNN,2,0.15,13.886,14.376
electricity,integrated_gradients,mae,SegRNN,3,0.05,8.902,15.496
electricity,integrated_gradients,mae,SegRNN,3,0.075,11.253,14.966
electricity,integrated_gradients,mae,SegRNN,3,0.1,12.29,14.72
electricity,integrated_gradients,mae,SegRNN,3,0.15,13.959,14.324
electricity,integrated_gradients,mae,iTransformer,1,0.05,12.372,24.167
electricity,integrated_gradients,mae,iTransformer,1,0.075,15.406,24.775
electricity,integrated_gradients,mae,iTransformer,1,0.1,17.074,25.072
electricity,integrated_gradients,mae,iTransformer,1,0.15,19.549,25.183
electricity,integrated_gradients,mae,iTransformer,2,0.05,12.648,24.071
electricity,integrated_gradients,mae,iTransformer,2,0.075,15.761,24.658
electricity,integrated_gradients,mae,iTransformer,2,0.1,17.475,24.961
electricity,integrated_gradients,mae,iTransformer,2,0.15,20.028,25.051
electricity,integrated_gradients,mae,iTransformer,3,0.05,12.251,24.426
electricity,integrated_gradients,mae,iTransformer,3,0.075,15.107,24.876
electricity,integrated_gradients,mae,iTransformer,3,0.1,16.638,25.072
electricity,integrated_gradients,mae,iTransformer,3,0.15,18.884,24.958
electricity,gradient_shap,mae,DLinear,1,0.05,6.307,17.663
electricity,gradient_shap,mae,DLinear,1,0.075,7.615,17.625
electricity,gradient_shap,mae,DLinear,1,0.1,8.275,17.565
electricity,gradient_shap,mae,DLinear,1,0.15,9.507,17.397
electricity,gradient_shap,mae,DLinear,2,0.05,5.852,17.235
electricity,gradient_shap,mae,DLinear,2,0.075,7.115,17.224
electricity,gradient_shap,mae,DLinear,2,0.1,7.752,17.194
electricity,gradient_shap,mae,DLinear,2,0.15,8.982,17.076
electricity,gradient_shap,mae,DLinear,3,0.05,6.13,17.41
electricity,gradient_shap,mae,DLinear,3,0.075,7.392,17.387
electricity,gradient_shap,mae,DLinear,3,0.1,8.032,17.347
electricity,gradient_shap,mae,DLinear,3,0.15,9.24,17.22
electricity,gradient_shap,mae,MICN,1,0.05,8.46,14.805
electricity,gradient_shap,mae,MICN,1,0.075,9.958,14.671
electricity,gradient_shap,mae,MICN,1,0.1,10.768,14.681
electricity,gradient_shap,mae,MICN,1,0.15,12.362,14.835
electricity,gradient_shap,mae,MICN,2,0.05,8.378,14.544
electricity,gradient_shap,mae,MICN,2,0.075,9.922,14.366
electricity,gradient_shap,mae,MICN,2,0.1,10.724,14.359
electricity,gradient_shap,mae,MICN,2,0.15,12.279,14.49
electricity,gradient_shap,mae,MICN,3,0.05,8.316,14.665
electricity,gradient_shap,mae,MICN,3,0.075,9.885,14.544
electricity,gradient_shap,mae,MICN,3,0.1,10.71,14.576
electricity,gradient_shap,mae,MICN,3,0.15,12.33,14.767
electricity,gradient_shap,mae,SegRNN,1,0.05,6.738,16.355
electricity,gradient_shap,mae,SegRNN,1,0.075,8.721,15.778
electricity,gradient_shap,mae,SegRNN,1,0.1,9.64,15.46
electricity,gradient_shap,mae,SegRNN,1,0.15,11.214,14.816
electricity,gradient_shap,mae,SegRNN,2,0.05,7.344,15.847
electricity,gradient_shap,mae,SegRNN,2,0.075,9.061,15.269
electricity,gradient_shap,mae,SegRNN,2,0.1,9.882,14.953
electricity,gradient_shap,mae,SegRNN,2,0.15,11.338,14.294
electricity,gradient_shap,mae,SegRNN,3,0.05,6.519,15.888
electricity,gradient_shap,mae,SegRNN,3,0.075,8.447,15.318
electricity,gradient_shap,mae,SegRNN,3,0.1,9.365,14.995
electricity,gradient_shap,mae,SegRNN,3,0.15,10.961,14.321
electricity,gradient_shap,mae,iTransformer,1,0.05,6.028,20.784
electricity,gradient_shap,mae,iTransformer,1,0.075,7.684,20.588
electricity,gradient_shap,mae,iTransformer,1,0.1,8.684,20.477
electricity,gradient_shap,mae,iTransformer,1,0.15,10.432,20.202
electricity,gradient_shap,mae,iTransformer,2,0.05,6.16,20.451
electricity,gradient_shap,mae,iTransformer,2,0.075,7.801,20.299
electricity,gradient_shap,mae,iTransformer,2,0.1,8.777,20.209
electricity,gradient_shap,mae,iTransformer,2,0.15,10.522,19.966
electricity,gradient_shap,mae,iTransformer,3,0.05,6.049,20.622
electricity,gradient_shap,mae,iTransformer,3,0.075,7.619,20.427
electricity,gradient_shap,mae,iTransformer,3,0.1,8.55,20.311
electricity,gradient_shap,mae,iTransformer,3,0.15,10.202,20.003
electricity,winIT,mae,DLinear,1,0.05,10.058,14.177
electricity,winIT,mae,DLinear,1,0.075,10.479,13.783
electricity,winIT,mae,DLinear,1,0.1,10.653,13.55
electricity,winIT,mae,DLinear,1,0.15,11.002,12.962
electricity,winIT,mae,DLinear,2,0.05,9.955,13.932
electricity,winIT,mae,DLinear,2,0.075,10.363,13.554
electricity,winIT,mae,DLinear,2,0.1,10.559,13.327
electricity,winIT,mae,DLinear,2,0.15,10.933,12.749
electricity,winIT,mae,DLinear,3,0.05,10.239,13.974
electricity,winIT,mae,DLinear,3,0.075,10.692,13.599
electricity,winIT,mae,DLinear,3,0.1,10.871,13.366
electricity,winIT,mae,DLinear,3,0.15,11.203,12.793
electricity,winIT,mae,MICN,1,0.05,9.014,13.892
electricity,winIT,mae,MICN,1,0.075,9.502,13.724
electricity,winIT,mae,MICN,1,0.1,9.713,13.647
electricity,winIT,mae,MICN,1,0.15,10.128,13.482
electricity,winIT,mae,MICN,2,0.05,9.23,13.955
electricity,winIT,mae,MICN,2,0.075,9.703,13.802
electricity,winIT,mae,MICN,2,0.1,9.917,13.724
electricity,winIT,mae,MICN,2,0.15,10.331,13.564
electricity,winIT,mae,MICN,3,0.05,8.944,13.791
electricity,winIT,mae,MICN,3,0.075,9.447,13.626
electricity,winIT,mae,MICN,3,0.1,9.664,13.544
electricity,winIT,mae,MICN,3,0.15,10.079,13.395
electricity,winIT,mae,SegRNN,1,0.05,9.222,15.286
electricity,winIT,mae,SegRNN,1,0.075,9.796,15.039
electricity,winIT,mae,SegRNN,1,0.1,10.099,14.881
electricity,winIT,mae,SegRNN,1,0.15,10.718,14.462
electricity,winIT,mae,SegRNN,2,0.05,9.499,14.838
electricity,winIT,mae,SegRNN,2,0.075,9.979,14.596
electricity,winIT,mae,SegRNN,2,0.1,10.229,14.443
electricity,winIT,mae,SegRNN,2,0.15,10.783,14.038
electricity,winIT,mae,SegRNN,3,0.05,8.859,14.864
electricity,winIT,mae,SegRNN,3,0.075,9.385,14.625
electricity,winIT,mae,SegRNN,3,0.1,9.663,14.471
electricity,winIT,mae,SegRNN,3,0.15,10.271,14.069
electricity,winIT,mae,iTransformer,1,0.05,7.52,17.951
electricity,winIT,mae,iTransformer,1,0.075,8.476,17.504
electricity,winIT,mae,iTransformer,1,0.1,9.138,17.179
electricity,winIT,mae,iTransformer,1,0.15,10.329,16.397
electricity,winIT,mae,iTransformer,2,0.05,7.383,17.901
electricity,winIT,mae,iTransformer,2,0.075,8.298,17.464
electricity,winIT,mae,iTransformer,2,0.1,8.955,17.143
electricity,winIT,mae,iTransformer,2,0.15,10.122,16.364
electricity,winIT,mae,iTransformer,3,0.05,7.46,18.31
electricity,winIT,mae,iTransformer,3,0.075,8.404,17.83
electricity,winIT,mae,iTransformer,3,0.1,9.045,17.507
electricity,winIT,mae,iTransformer,3,0.15,10.229,16.686
electricity,winIT,mae,CALF,1,0.05,7.972,18.246
electricity,winIT,mae,CALF,1,0.075,8.73,17.794
electricity,winIT,mae,CALF,1,0.1,9.174,17.502
electricity,winIT,mae,CALF,1,0.15,10.169,16.806
electricity,winIT,mae,CALF,2,0.05,8.022,18.556
electricity,winIT,mae,CALF,2,0.075,8.817,18.133
electricity,winIT,mae,CALF,2,0.1,9.268,17.845
electricity,winIT,mae,CALF,2,0.15,10.274,17.133
electricity,winIT,mae,CALF,3,0.05,7.863,18.149
electricity,winIT,mae,CALF,3,0.075,8.652,17.694
electricity,winIT,mae,CALF,3,0.1,9.108,17.41
electricity,winIT,mae,CALF,3,0.15,10.132,16.66
electricity,tsr,mae,DLinear,1,0.05,6.402,12.911
electricity,tsr,mae,DLinear,1,0.075,7.954,12.354
electricity,tsr,mae,DLinear,1,0.1,8.816,11.984
electricity,tsr,mae,DLinear,1,0.15,10.811,11.026
electricity,tsr,mae,DLinear,2,0.05,6.192,12.571
electricity,tsr,mae,DLinear,2,0.075,7.68,12.067
